Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,3.8,3.7,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
2015,3.9,3.9,3.9,3.9,3.9,4.0,4.0,4.1,4.1,4.0,4.0,4.0
2016,4.0,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.3,4.2,4.2,4.3
2017,4.3,4.2,4.3,4.2,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2
2018,4.5,4.5,4.4,4.4,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4
2019,4.4,4.5,4.4,4.4,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4
2020,4.4,4.4,4.4,4.3,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3
2021,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4
2022,4.4,4.3,4.3,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5
2023,4.5,4.5,4.4,4.4,4.4,4.5,4.4,4.5,4.5,4.5,4.5,4.5
2024,4.5,4.5,4.5,4.6,4.6,4.7(P),,,,,,
